Treatment,Trial,E1,E2,C,G,TimeToFirstSusE2,pd,probes,timetoprobe,DurationNP,NP,FirstHourNP,SecHourNP,ThrHourNP
Control,Trial1_ch6_C,0,0,170.1648333,0,480,37,22,10631.05,18590.11,18590.11,3600,3600,3433.22
Control,Trial1_ch7_C,0.0905,409.9936667,69.91566667,0,70.00633333,58,1,0.01,0.01,0.01,0.01,0,0
Control,Trial2_ch1_C,2.896666667,350.681,68.7185,0,109.7123333,63,2,0.01,3462.23,3462.23,2896.48,565.75,0
Control,Trial2_ch4_C,0,0,432.5518333,0,480,154,39,0.01,2846.89,2846.89,323.14,80.05,212.17
Control,Trial2_ch5_C,1.017166667,3.9175,168.4965,92.34683333,480,110,18,0.01,12853.32,12853.32,831.66,2265.01,3600
Control,Trial3_ch2_C,1.7915,431.9921667,39.76166667,0,40.30566667,30,4,163.02,387.28,387.28,387.28,0,0
Control,Trial3_ch4_odd_C,0,0,433.1865,3.411,480,122,26,0.01,2604.15,2604.15,106.18,373.11,320.26
Control,Trial3_ch8_C,21.868,37.16716667,367.5373333,0.666833333,79.876,158,28,659.51,659.51,3165.64,659.51,0,21.96
Control,Trial4_ch1_C,1.334333333,408.8508333,69.81466667,0,71.14916667,72,1,0.01,0.01,0.01,0.01,0,0
Control,Trial4_ch3_C,1.934666667,0,120.9226667,203.8031667,480,98,6,474.34,4256.17,9200.37,3510.79,127.49,0
Control,Trial4_ch7_C,0.533,0.970666667,421.6185,56.87766667,480,265,1,0.01,0.01,0.01,0.01,0,0
Control,Trial5_ch1_C,1.724666667,395.1441667,72.00766667,0,84.85583333,46,7,0.01,667.41,667.41,667.41,0,0
Control,Trial5_ch6_C,8.782166667,0,372.5063333,0,480,145,56,103.53,3492.55,5922.69,1002.2,613.32,1721.2
Control,Trial5_ch8_C,1.216833333,191.1145,214.0328333,10.952,288.8855,179,8,3381.44,3761.03,3761.03,3381.44,156.8,71.33
Control,Trial6_ch3_odd_C,5.551,0,316.6038333,0,480,76,31,105.63,767.17,9470.71,767.17,380.94,173.42
Control,Trial6_ch4_C,1.147833333,266.1463333,199.3866667,0,213.8536667,122,18,4.41,799.15,799.15,345.56,276.33,123.19
Control,Trial6_ch5_C,0,0,426.3498333,22.6355,480,154,20,0.01,1860.88,1860.88,305.68,147.34,389.68
Control,Trial6_ch7_C,1.4905,420.7705,57.39516667,0,59.2295,27,3,0.01,20.63,20.63,20.63,0,0
Wasp  ,Trial1_ch1_W,6.220666667,347.8555,124.5663333,0,119.4606667,71,5,0.01,81.45,81.45,81.45,0,0
Wasp  ,Trial1_ch3_W,6.615666667,14.59366667,176.5801667,56.12866667,480,179,4,13529.6,13551.65,13564.91,3600,3600,3600
Wasp  ,Trial1_ch4_W,0.596,339.7111667,127.6961667,0,140.2888333,101,12,0.01,719.8,719.8,0.01,719.79,0
Wasp  ,Trial1_ch5_W,3.995666667,403.0738333,68.41633333,0,76.92616667,55,4,0.01,270.85,270.85,270.85,0,0
Wasp  ,Trial1_ch8_W,0.818,2.0955,337.3213333,64.399,480,128,30,0.01,749.29,4521.97,524.11,0,225.18
Wasp  ,Trial2_ch6_W,0,0,373.2235,52.75566667,480,274,30,0.01,3241.25,3241.25,130.81,1022.31,1291.48
Wasp  ,Trial3_ch1_W,5.043833333,187.169,143.4795,0,292.831,67,13,8168.19,8658.46,8658.46,3600,3600,1069.27
Wasp  ,Trial3_ch4_W,1.1695,151.1186667,327.1383333,0,322.0753333,83,2,0.01,34.41,34.41,0.01,0,0
Wasp  ,Trial3_ch8_W,3.383166667,0,456.422,13.164,480,16,4,0.01,0.01,421.85,0.01,0,0
Wasp  ,Trial6_ch4_W,0,0,328.591,115.2581667,480,114,19,0.01,2169.05,2169.05,408.2,0,6.43
Wasp ,Trial9_ch1_W,0.787666667,268.6088333,210.6033333,0,211.3911667,57,1,0.01,0.01,0.01,0.01,0,0
